Frame Number,Timestamp,Vehicle ID,Vehicle BBox,Plate BBox,Plate Text,Plate Confidence,Vehicle Image Path,Plate Image Path
190,00:00:03,2,"(193, 0, 664, 237)","(484, 111, 600, 158)",GJ06PQ1816,0.3557994024922603,E:/github/license_plate_detections/vehicle_image/190_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/190_2_plate_rotated.jpg
193,00:00:03,2,"(180, 0, 652, 239)","(471, 114, 586, 161)",GJ06PN1816,0.5164446761002447,E:/github/license_plate_detections/vehicle_image/193_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/193_2_plate_rotated.jpg
196,00:00:03,2,"(173, 0, 641, 243)","(458, 118, 575, 165)",GJ06PN1816,0.22562865585567166,E:/github/license_plate_detections/vehicle_image/196_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/196_2_plate_rotated.jpg
198,00:00:03,2,"(169, 0, 633, 244)","(452, 119, 567, 167)",GJ06PN1816,0.19933780933176265,E:/github/license_plate_detections/vehicle_image/198_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/198_2_plate_rotated.jpg
201,00:00:03,2,"(163, 0, 624, 246)","(441, 122, 558, 169)",GJ06PN1816,0.43479620908613736,E:/github/license_plate_detections/vehicle_image/201_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/201_2_plate_rotated.jpg
202,00:00:03,2,"(161, 0, 622, 247)","(439, 122, 555, 169)",GJ06PN1816,0.4372219199274032,E:/github/license_plate_detections/vehicle_image/202_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/202_2_plate_rotated.jpg
203,00:00:03,2,"(160, 0, 620, 247)","(436, 124, 552, 170)",GJ06PN1816,0.41840200877203704,E:/github/license_plate_detections/vehicle_image/203_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/203_2_plate_rotated.jpg
204,00:00:03,2,"(157, 0, 617, 247)","(433, 124, 549, 171)",GJ06PN1816,0.46524126373607677,E:/github/license_plate_detections/vehicle_image/204_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/204_2_plate_rotated.jpg
206,00:00:03,2,"(155, 0, 612, 248)","(427, 125, 545, 172)",GJ06PN1816,0.3111086957614133,E:/github/license_plate_detections/vehicle_image/206_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/206_2_plate_rotated.jpg
207,00:00:03,2,"(153, 0, 610, 249)","(425, 126, 542, 172)",GJ06PN1816,0.47401772137405523,E:/github/license_plate_detections/vehicle_image/207_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/207_2_plate_rotated.jpg
212,00:00:03,2,"(143, 0, 601, 251)","(414, 128, 530, 174)",GJ06P81816,0.28033296685924003,E:/github/license_plate_detections/vehicle_image/212_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/212_2_plate_rotated.jpg
216,00:00:03,2,"(138, 0, 592, 252)","(402, 128, 520, 174)",GJ06PH1816,0.33118426360674835,E:/github/license_plate_detections/vehicle_image/216_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/216_2_plate_rotated.jpg
217,00:00:03,2,"(137, 0, 590, 252)","(399, 129, 518, 175)",GJ06PH1816,0.292286083619909,E:/github/license_plate_detections/vehicle_image/217_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/217_2_plate_rotated.jpg
218,00:00:03,2,"(135, 0, 587, 252)","(397, 129, 515, 175)",GJ06PN1816,0.36980545646414936,E:/github/license_plate_detections/vehicle_image/218_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/218_2_plate_rotated.jpg
219,00:00:03,2,"(133, 0, 584, 252)","(394, 129, 512, 175)",GJ06P81816,0.20577279638528706,E:/github/license_plate_detections/vehicle_image/219_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/219_2_plate_rotated.jpg
221,00:00:03,2,"(130, 0, 580, 253)","(389, 130, 507, 176)",GJ06PQ1816,0.4511916730950879,E:/github/license_plate_detections/vehicle_image/221_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/221_2_plate_rotated.jpg
